id,name,lat,long,located in
G3LS2927,布嘎寺; 'bo dkar dgon/,31.45,84.41,mda' gzhung chus (mtsho chen rdzong); mtsho chen rdzong /; 措勤县
G249,嘎达寺; brag dgon/; Drak Gon,36.56667,102.75,dpa' ris rdzong /; 天祝县
G3701,gtsang kaH thog dgon/,,,
G1KG5757,Gochen Gon; sgo chen dgon/,,,昌都县; chab mdo rdzong /; Chamdo county
G1858,尼尔寺; Nyedrubde Lhundrub Chodzong; rnye dgon/,35.85219,101.55871,khri ka rdzong /; 贵德县
G4067,gnas 'go g.yung drung /,,,rong brag rdzong /; Rongdrak county; 丹巴县
G1KR2434,五屯下庄寺; seng+ge gshong ma mgo dgon pa/,35.50998,102.08716,同仁县; Rebkong County; reb gong rdzong /
G2503,tag gro dgon/,,,se ra smad grwa tshang /; Serame Dratsang
G1KR981,江岗寺,31.13333,97.16666,昌都县; chab mdo rdzong /; Chamdo county
G4370,shu bham dgon/,,,
G1KR1556,kh'u brag; 库扎寺,28.91667,88.11667,sa skya rdzong /; Sakya county; 萨迦县
G4900,bde chen chos gling /,,,
G1DOMM0050,bshad sgrub gling /; Shaddublin khiid,48,106.87,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G1KR216,康萨寺; khang gsar nyin pa dgon/,34.09907,102.74087,mdzod dge rdzong /; 若尔盖县
G1PD96029,bla kya zi/; 喇家寺,35.87363,102.82783,民和县; bka' ma log rdzong /
G434,gdan sa mthil/; 丹萨提寺,29.34249,91.91177,zangs ri rdzong /; Zangri county; 桑日县
G1KR1747,多加寺,30.58333,90.13333,dpal mgon rdzong /; Palgon county; 班戈县
G1KR1955,chos pa kong bu nang dgon/; 吉瓦工屋囊寺？,34.73849,103.26695,卓尼县; co ne rdzong /
G1741,'bos pa dgon/,,,达日县; dar lag rdzong /; smar 'bring zhang /
G2GS1269,lcags zam mo brag,,,lha rtse rdzong /; 拉孜县; Lhatse county
